Timestamp,Age,Gender ,Nationality,High_School_System,High_School_Grade,Economic_Status,Scholarship,Attendance,Failed_Courses,GPA,Grade,Rank,Extroversion,Calmness,Failure_Tolerance,Self_Confidence,Procrastination,Self_Motivation ,Peer_Pressure,Group_Study,Peer_Support,Teacher_Support,Teacher_Closeness,School_Belongingness,Teacher_Knowledge,Teacher_Self_Motivation,Teacher_Self_Confidence,Teacher_Openness,Fear_Of_Failure,Working_Hard,Pass_Course,Avoiding_Punishment,Rewards,University_System
3/30/2023 20:37,18-24 years old,Female,Egyptian ,Thanaweya Amma,80%-89%,Medium,No,> 80%,0,1.96,B+,very good (جيد جدا),5,4,2,4,4,3,4,Yes,Yes,Yes,3,Yes,4,Yes,Yes,No,4,4,3,1,4,German system
3/30/2023 20:42,18-24 years old,Female,Egyptian ,French Baccalaureat,90%-100%,Medium,No,> 80%,0,3.43,A-,excellent (ممتاز),4,5,3,5,3,4,2,No,Yes,Yes,3,Yes,5,Yes,Yes,Yes,4,4,3,1,4,American system
3/30/2023 20:50,18-24 years old,Female,Egyptian ,French Baccalaureat,90%-100%,High,No,> 80%,0,3.78,A,excellent (ممتاز),4,4,2,5,3,5,2,No,Yes,Yes,3,Yes,4,Yes,Yes,No,5,4,2,1,3,American system
3/30/2023 21:01,18-24 years old,Male,Egyptian ,Thanaweya Amma,90%-100%,Medium,No,> 80%,0,3.26,A-,excellent (ممتاز),5,5,3,5,4,4,2,Yes,Yes,Yes,3,Yes,4,Yes,Yes,No,3,4,4,1,4,American system
3/30/2023 21:04,18-24 years old,Female,Egyptian ,Thanaweya Amma,90%-100%,Medium,No,> 80%,0,1.47,A-,excellent (ممتاز),4,4,1,5,2,4,3,No,Yes,Yes,4,Yes,5,Yes,Yes,No,5,4,2,1,2,German system
3/30/2023 21:53,18-24 years old,Female,Egyptian ,SAT,90%-100%,Medium,No,> 80%,None,1.8,B+,very good (جيد جدا),4,2,3,4,5,3,3,No,No,No,1,Yes,3,No,Yes,No,5,4,4,2,4,German system
3/30/2023 22:05,18-24 years old,Female,Egyptian ,Thanaweya Amma,80%-89%,Medium,No,> 40%,0,3.3,A-,excellent (ممتاز),4,1,4,5,1,4,2,Yes,No,No,3,No,3,Yes,No,No,3,4,2,1,1,American system
3/30/2023 22:32,18-24 years old,Female,Egyptian,Thanaweya Amma,80%-89%,Medium,Yes,> 80%,0,3.7,A+,excellent (ممتاز),5,1,1,5,3,5,3,Yes,Yes,Yes,5,Yes,5,Yes,Yes,Yes,4,4,1,4,4,American system
3/30/2023 23:21,18-24 years old,Female,Egyptian,SAT,90%-100%,Medium,Yes,> 80%,0,1.04,A,excellent (ممتاز),3,2,2,2,3,4,3,No,Yes,Yes,3,Yes,4,No,Yes,No,5,3,4,4,5,German system
3/30/2023 23:28,18-24 years old,Female,Egyptian,IGCSE,90%-100%,Medium,No,> 80%,0,1.7,B+,very good (جيد جدا),4,3,3,3,4,4,3,No,No,Yes,3,Yes,3,Yes,No,No,5,5,5,4,5,German system
3/31/2023 0:02,18-24 years old,Female,Egyptian,IGCSE,90%-100%,High,No,> 80%,0,3.82,A+,excellent (ممتاز),3,4,2,2,5,4,1,No,Yes,Yes,5,Yes,5,Yes,Yes,Yes,5,4,1,1,3,American system
